time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446800000	18.3373	6.61051	5.10607	0.945122	0.392736	lidar	1.25613	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446900000	18.6095	6.94039	4.9602	0.962421	0.36584	lidar	2.41113	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010447000000	18.9861	7.28258	4.97334	0.937477	0.287086	lidar	2.56214	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447100000	19.1716	7.76018	4.96861	1.02993	0.36845	lidar	2.70446	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447200000	19.3167	8.18162	4.85064	1.10685	0.42039	lidar	2.50026	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447300000	19.4715	8.52321	4.6518	1.14549	0.41807	lidar	3.967	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447400000	19.7849	8.91788	4.71585	1.11999	0.33236	lidar	3.4764	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447500000	20.0433	9.37569	4.81706	1.1329	0.305926	lidar	1.31298	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447600000	20.2059	9.84758	4.84412	1.18762	0.33611	lidar	0.437094	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447700000	20.2924	10.3608	4.88154	1.27622	0.404907	lidar	2.01175	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447800000	20.398	10.8889	4.96447	1.34124	0.434902	lidar	1.04642	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447900000	20.4294	11.3709	4.9193	1.41916	0.478599	lidar	0.94774	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010448000000	20.5378	11.8809	4.98173	1.44726	0.45297	lidar	0.644571	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448100000	20.4819	12.4179	5.01854	1.55077	0.525561	lidar	2.23293	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448200000	20.4868	12.9103	5.00556	1.5986	0.519819	lidar	0.0304642	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448300000	20.3556	13.3379	4.86245	1.70082	0.585309	lidar	3.70932	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448400000	20.2968	13.8389	4.90263	1.75014	0.573034	lidar	0.220823	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448500000	20.1666	14.3229	4.91666	1.82234	0.591596	lidar	0.160755	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448600000	19.932	14.7847	4.92531	1.93274	0.656134	lidar	1.68575	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448700000	19.8509	15.2335	4.87223	1.94399	0.58844	lidar	2.13885	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448800000	19.7556	15.6474	4.76431	1.95963	0.535621	lidar	2.2933	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448900000	19.5276	16.0573	4.74264	2.03509	0.563431	lidar	0.360923	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010449000000	19.2729	16.4085	4.65245	2.11885	0.59889	lidar	1.33028	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449100000	19.0145	16.8098	4.67728	2.17827	0.597987	lidar	0.0618801	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449200000	18.6987	17.2444	4.80684	2.24106	0.599986	lidar	1.6785	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449300000	18.2818	17.5806	4.86765	2.35831	0.670749	lidar	2.36442	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449400000	18.0346	17.969	4.82998	2.36109	0.590916	lidar	2.65859	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449500000	17.7573	18.2806	4.71639	2.39545	0.561687	lidar	1.62791	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449600000	17.4016	18.6285	4.76924	2.43852	0.544698	lidar	0.395564	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449700000	17.0796	18.9188	4.69501	2.47738	0.526079	lidar	0.683225	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449800000	16.6521	19.1406	4.69641	2.57044	0.576418	lidar	1.02835	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449900000	16.2551	19.4653	4.78363	2.59262	0.531244	lidar	1.5992	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010450000000	15.8765	19.7672	4.7991	2.60756	0.483463	lidar	0.940415	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450100000	15.4579	20.0667	4.8662	2.62738	0.447238	lidar	0.977557	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450200000	15.093	20.356	4.82535	2.62768	0.392105	lidar	1.35202	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
