0.1	0.1	0	0	0	0	0	0	0	0
1.55943	-0.138499	0.732174	-0.119651	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
3.89086	-0.134171	2.33841	0.00486917	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
6.86043	0.414161	3.2719	0.808647	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
9.08388	0.597117	1.58503	-0.198034	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
11.5695	1.65841	3.07684	1.88806	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
13.5994	2.32043	1.32227	-0.166629	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
16.6336	2.89777	4.20527	1.08627	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
19.0234	3.70751	1.14158	0.619594	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
21.323	4.72921	3.09768	1.2988	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
24.0811	5.5729	2.52382	0.529767	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
26.6052	6.95498	2.52434	1.97024	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
29.5832	8.09379	3.29099	0.564946	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
31.9482	9.87157	1.72581	2.61496	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
34.609	10.7114	3.30635	-0.385534	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
37.1458	12.0759	2.00553	2.5726	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
40.3202	13.4749	3.98131	0.588887	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
42.7772	14.824	1.4047	1.87379	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
45.3489	16.5534	3.37734	1.62979	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701
48.1581	17.2898	2.41699	0.119676	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
50.6224	19.0604	2.497	2.91024	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
53.7225	19.9128	3.51636	-0.568131	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
56.0407	21.08	1.49115	2.36509	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
58.6552	21.7938	3.38997	-0.426118	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
60.8805	22.7776	1.42126	1.95719	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
63.3745	23.4163	3.23447	-0.271628	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
66.3422	23.9899	2.78355	1.15709	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
68.2681	24.3637	1.33394	-0.166808	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
70.8188	24.8795	3.39067	0.98705	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
72.9015	24.7217	1.17978	-0.94825	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
74.9956	25.249	2.72522	1.54593	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
77.1267	24.9428	1.72091	-1.5847	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
